"2015-16 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 10 or more students enrolled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL*,,PME**,,PBE§ ,,HCP-COUNSELED PBE§§ ,,RELIGIOUS PBE§§§ ,,OVER-DUE §§§§,,DTP††  ^,,POLIO¥ ^,,MMR‡  ^,,HEPB§ ^,,VAR¶ ^,,REPORTED¶¶
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEMENTARY,168,166,99,2,1,0,0,0,0,0,0,0,0,0,0,167,99,168,100,167,99,168,100,168,100,Y
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEMENTARY,144,144,100,0,0,0,0,0,0,0,0,0,0,0,0,144,100,144,100,144,100,144,100,144,100,Y
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEMENTARY,177,171,97,5,3,0,0,1,1,1,1,0,0,0,0,175,99,176,99,173,98,174,98,176,99,Y
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEMENTARY,71,71,100,0,0,0,0,0,0,0,0,0,0,0,0,71,100,71,100,71,100,71,100,71,100,Y
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,E. M. GRIMMER ELEMENTARY,101,98,97,1,1,0,0,2,2,2,2,0,0,0,0,98,97,99,98,99,98,99,98,99,98,Y
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEMENTARY,141,140,99,1,1,0,0,0,0,0,0,0,0,0,0,140,99,141,100,141,100,141,100,141,100,Y
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FRED E. WEIBEL ELEMENTARY,142,136,96,1,1,0,0,5,4,5,4,0,0,0,0,136,96,137,96,136,96,137,96,137,96,Y
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEMENTARY,101,100,99,0,0,0,0,1,1,1,1,0,0,0,0,100,99,100,99,100,99,100,99,100,99,Y
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HARVEY GREEN ELEMENTARY,72,71,99,0,0,0,0,1,1,1,1,0,0,0,0,71,99,71,99,71,99,71,99,71,99,Y
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,J. HALEY DURHAM ELEMENTARY,168,162,96,4,2,0,0,2,1,2,1,0,0,0,0,164,98,166,99,165,98,165,98,166,99,Y
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JAMES LEITCH ELEMENTARY,270,268,99,0,0,0,0,2,1,1,0,1,0,0,0,268,99,268,99,268,99,268,99,268,99,Y
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN BLACOW ELEMENTARY,102,101,99,0,0,0,0,1,1,1,1,0,0,0,0,101,99,101,99,101,99,101,99,101,99,Y
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN G. MATTOS ELEMENTARY,75,74,99,0,0,0,0,1,1,1,1,0,0,0,0,74,99,74,99,74,99,74,99,74,99,Y
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN GOMES ELEMENTARY,146,142,97,2,1,0,0,2,1,2,1,0,0,0,0,143,98,143,98,142,97,144,99,144,99,Y
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSEPH AZEVADA ELEMENTARY,100,99,99,0,0,0,0,1,1,1,1,0,0,0,0,99,99,99,99,99,99,99,99,99,99,Y
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSHUA CHADBOURNE ELEMENTARY,72,71,99,0,0,0,0,1,1,1,1,0,0,0,0,71,99,71,99,71,99,71,99,71,99,Y
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEMENTARY,96,95,99,1,1,0,0,0,0,0,0,0,0,0,0,96,100,96,100,95,99,96,100,96,100,Y
6000749,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION VALLEY ELEMENTARY,72,69,96,2,3,0,0,1,1,0,0,1,1,0,0,70,97,70,97,69,96,71,99,71,99,Y
6000756,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,NILES ELEMENTARY,48,48,100,0,0,0,0,0,0,0,0,0,0,0,0,48,100,48,100,48,100,48,100,48,100,Y
6000764,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,O. N. HIRSCH ELEMENTARY,53,53,100,0,0,0,0,0,0,0,0,0,0,0,0,53,100,53,100,53,100,53,100,53,100,Y
6090542,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,OLIVEIRA ELEMENTARY,100,97,97,1,1,0,0,1,1,1,1,0,0,1,1,98,98,98,98,98,98,97,97,98,98,Y
6000798,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PARKMONT ELEMENTARY,168,165,98,0,0,0,0,2,1,2,1,0,0,1,1,165,98,165,98,165,98,165,98,165,98,Y
6000806,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PATTERSON ELEMENTARY,98,97,99,0,0,0,0,1,1,1,1,0,0,0,0,97,99,97,99,97,99,97,99,97,99,Y
